entityname,subtypename,typename
Scott domain,Domain theory,Order theory
Scott continuity,Domain theory,Order theory
Z notation,Z notation,Oxford University Computing Laboratory
DigiSigner,PDF readers,PDF software
Adobe Acrobat,PDF readers,PDF software
Foxit Reader,PDF readers,PDF software
PDFescape,PDF readers,PDF software
Nitro PDF,PDF readers,PDF software
PHP,PHP software,PHP
Zend Engine,PHP software,PHP
Zikula,PHP frameworks,PHP
Novius OS,PHP frameworks,PHP
Phalcon (framework),PHP frameworks,PHP
PHPUnit,PHP software,PHP
PHP Unit Testing Framework,PHP software,PHP
Lime (software),PHP software,PHP
PHPMailer,PHP software,PHP
Zend Technologies,PHP software,PHP
Behat (computer science),PHP software,PHP
TYPO3,TYPO3,PHP frameworks
TYPO3 Flow,TYPO3,PHP frameworks
FuelPHP,PHP frameworks,PHP software
FuelPHP,Free software programmed in PHP,PHP software
Composer (software),Free software programmed in PHP,PHP software
PHPixie,PHP frameworks,PHP software
Yii,PHP frameworks,PHP software
AmfPHP,PHP libraries,PHP software
ORMer,PHP libraries,PHP software
Redbean (software),PHP libraries,PHP software
Torpor (PHP),PHP libraries,PHP software
Simple Cloud API,PHP libraries,PHP software
Doctrine (PHP),PHP libraries,PHP software
XHP,PHP libraries,PHP software
Exit (system call),C standard library,POSIX
C POSIX library,C POSIX library,POSIX
Stat (system call),C POSIX library,POSIX
PostScript,PostScript,Page description languages
Compiler-compiler,Parser generators,Parsing
Free Pascal,Free software programmed in Pascal,Pascal (programming language)
Free Pascal,Pascal programming language family,Pascal (programming language)
Free Pascal,Free Pascal,Pascal (programming language)
Free Pascal,Pascal compilers,Pascal (programming language)
Comparison of Pascal and C,Pascal programming language family,Pascal (programming language)
Concurrent Pascal,Pascal programming language family,Pascal (programming language)
Megido (Free Pascal),Pascal programming language family,Pascal (programming language)
Megido (Free Pascal),Free Pascal,Pascal (programming language)
Vector Pascal,Pascal programming language family,Pascal (programming language)
Vector Pascal,Pascal compilers,Pascal (programming language)
Comparison of Object Pascal and C,Pascal programming language family,Pascal (programming language)
Delphi (programming language),Delphi (programming language),Pascal (programming language)
Delphi (programming language),Pascal compilers,Pascal (programming language)
Lazarus (IDE),Pascal programming language family,Pascal (programming language)
Lazarus (IDE),Free Pascal,Pascal (programming language)
Free Pascal,Free Pascal,Pascal compilers
Free Pascal,Free Pascal,Pascal programming language family
Object Pascal,Delphi (programming language),Pascal programming language family
Megido (Free Pascal),Free Pascal,Pascal programming language family
Lazarus (IDE),Free Pascal,Pascal programming language family
Internet Direct,Free Pascal,Pascal programming language family
Tom (pattern matching language),Pattern matching programming languages,Pattern matching
Rust (programming language),Rust (programming language),Pattern matching programming languages
Xuheki,Perl software,Perl
Xuheki,Free software programmed in Perl,Perl
Larry Wall,Perl writers,Perl
Larry Wall,Perl people,Perl
Larry Wall,Perl writers,Perl people
Chromatic (programmer),Perl writers,Perl people
Allison Randal,Perl writers,Perl people
Dave Cross,Perl writers,Perl people
David Rolsky,Perl writers,Perl people
Website Meta Language,Free software programmed in Perl,Perl software
Padre (software),Free software programmed in Perl,Perl software
Request Tracker,Free software programmed in Perl,Perl software
SQL-Ledger,Free software programmed in Perl,Perl software
WebGUI,Free software programmed in Perl,Perl software
Debbugs,Free software programmed in Perl,Perl software
Movable Type,Free software programmed in Perl,Perl software
Perlbal,Free software programmed in Perl,Perl software
Fink,Free software programmed in Perl,Perl software
Amavis,Free software programmed in Perl,Perl software
Dancer (software),Free software programmed in Perl,Perl software
OTRS,Free software programmed in Perl,Perl software
SVK,Free software programmed in Perl,Perl software
BackupPC,Free software programmed in Perl,Perl software
Logitech Media Server,Free software programmed in Perl,Perl software
Qpsmtpd,Free software programmed in Perl,Perl software
Mojolicious,Free software programmed in Perl,Perl software
Xuheki,Free software programmed in Perl,Perl software
TWiki,Free software programmed in Perl,Perl software
NTP pool,Free software programmed in Perl,Perl software
Infobot,Free software programmed in Perl,Perl software
SpamAssassin,Free software programmed in Perl,Perl software
GCstar,Free software programmed in Perl,Perl software
Bricolage (software),Free software programmed in Perl,Perl software
W3Perl,Free software programmed in Perl,Perl software
AWStats,Free software programmed in Perl,Perl software
Catalyst (software),Free software programmed in Perl,Perl software
Perl Object Environment,Perl modules,Perl software
Mason (Perl),Perl modules,Perl software
AxKit,Free software programmed in Perl,Perl software
MUMPS,Persistent programming languages,Persistent programming languages
MUMPS,Data-centric programming languages,Persistent programming languages
JADE (programming language),Persistent programming languages,Persistent programming languages
JADE (programming language),Data-centric programming languages,Persistent programming languages
ABC (programming language),Persistent programming languages,Persistent programming languages
Cach?? ObjectScript,Persistent programming languages,Persistent programming languages
Handango,Symbian software,Personal digital assistant software
Nokia 5230,S60 (software platform),Personal digital assistants
Nokia 5250,S60 (software platform),Personal digital assistants
Nokia C5-03,S60 (software platform),Personal digital assistants
Nokia C5-00,S60 (software platform),Personal digital assistants
Nokia 5800 XpressMusic,S60 (software platform),Personal digital assistants
Nokia E75,S60 (software platform),Personal digital assistants
Advanced Stream Redirector,Playlist markup languages,Playlist file formats
Windows Media Player Playlist,Playlist markup languages,Playlist file formats
SAMI,Playlist markup languages,Playlist file formats
XML Shareable Playlist Format,Playlist markup languages,Playlist file formats
Google Chrome,Google Chrome,Portable software
Chromium (web browser),Google Chrome,Portable software
SPARK (programming language),Ada (programming language),Procedural programming languages
Perl,C programming language family,Procedural programming languages
Fortran,Fortran programming language family,Procedural programming languages
